City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
218,mukalla,14.5425,49.1242,85.01,78,89,4.52,YE,1693884593
219,ilulissat,69.2167,-51.1,41.02,87,100,3.44,GL,1693884508
220,coquimbo,-29.9533,-71.3436,56.93,76,0,5.75,CL,1693884593
221,gurupa,-1.405,-51.64,75.76,83,32,3.8,BR,1693884593
222,hailar,49.2,119.7,66.58,55,75,4.23,CN,1693884594
223,lebu,-37.6167,-73.65,47.43,80,100,11.59,CL,1693884594
224,kayangel,8.0823,134.7173,80.76,77,100,2.73,PW,1693884594
225,astara,38.5,48.6667,63.3,76,0,2.06,AZ,1693884595
226,quartu sant'elena,39.2419,9.1839,76.91,38,0,6.91,IT,1693884595
227,cockburn town,21.4612,-71.1419,85.05,78,38,10.83,TC,1693884595
228,waiuku,-37.25,174.75,61.25,93,100,9.64,NZ,1693884595
229,port saint john's,-31.6229,29.5448,62.85,88,100,5.44,ZA,1693884596
230,olinda,-8.0089,-34.8553,80.33,74,40,9.22,BR,1693884596
231,nishinoomote,30.7333,131.0,82.96,89,40,6.91,JP,1693884596
232,kashgar,39.4547,75.9797,74.41,18,20,8.95,CN,1693884596
233,ambon,-3.6954,128.1814,84.34,70,40,6.91,ID,1693884424
234,east london,-33.0153,27.9116,61.77,87,98,5.3,ZA,1693884597
235,flying fish cove,-10.4217,105.6791,80.28,69,40,17.27,CX,1693884598
236,sao gabriel da cachoeira,-0.1303,-67.0892,75.09,65,1,2.35,BR,1693884598
237,greenville,35.6127,-77.3663,78.13,93,0,0.0,US,1693884485
238,namtsy,62.7161,129.6658,58.93,39,76,2.33,RU,1693884599
239,jaisalmer,26.9147,70.9181,81.7,61,0,11.34,IN,1693884599
240,iskateley,67.6803,53.1512,54.36,91,34,12.12,RU,1693884599
241,bath,51.3779,-2.3591,64.38,83,2,6.91,GB,1693884259
242,bubaque,11.2833,-15.8333,78.64,78,100,7.81,GW,1693884600
243,sandnessjoen,66.0217,12.6316,48.72,65,100,21.25,NO,1693884600
244,astaneh-ye ashrafiyeh,37.2596,49.9444,75.13,76,43,1.01,IR,1693884601
245,wamba,8.9333,8.6,66.79,98,28,1.57,NG,1693884601
246,shalkar,47.8288,59.6258,68.23,47,12,8.48,KZ,1693884602
247,embi,48.8264,58.1442,67.33,45,20,8.79,KZ,1693884603
248,kununurra,-15.7667,128.7333,91.38,31,97,6.91,AU,1693884604
249,gadzhiyevo,69.2551,33.3362,49.68,90,100,16.64,RU,1693884604
250,dudinka,69.4058,86.1778,46.27,62,12,9.73,RU,1693884605
251,nouadhibou,20.931,-17.0347,73.38,68,84,17.27,MR,1693884606
252,yarmouth,41.7057,-70.2286,71.02,91,0,4.0,US,1693884606
253,tefe,-3.3542,-64.7114,75.0,46,3,2.71,BR,1693884607
254,nizhnyaya tavda,57.6731,66.1725,50.94,62,99,7.56,RU,1693884607
255,nago,26.5881,127.9761,88.23,69,100,6.11,JP,1693884607
256,inhambane,-23.865,35.3833,66.18,94,0,0.0,MZ,1693884608
257,island harbour,50.724,-1.2758,64.92,90,0,1.01,GB,1693884608
258,matthew town,20.95,-73.6667,83.3,78,32,7.49,BS,1693884608
259,kingston,17.997,-76.7936,86.95,82,20,12.66,JM,1693884609
260,felipe carrillo puerto,19.5833,-88.05,76.21,93,13,2.66,MX,1693884609
261,tayu,-6.5397,111.0518,85.75,50,22,9.66,ID,1693884609
262,constantia,44.1833,28.65,66.88,60,37,23.29,RO,1693884609
263,undurkhaan,47.3194,110.6556,79.39,36,5,3.98,MN,1693884609
264,port lincoln,-34.7333,135.8667,57.47,53,96,11.88,AU,1693884610
265,abbeville,50.1,1.8333,64.36,75,80,7.81,FR,1693884362
266,atbasar,51.8,68.3333,50.32,59,12,12.35,KZ,1693884610
267,ancud,-41.8697,-73.8203,39.81,90,84,5.3,CL,1693884610
268,ghanzi,-21.5667,21.7833,61.95,21,2,4.09,BW,1693884610
269,uturoa,-16.7333,-151.4333,77.41,82,55,22.24,PF,1693884610
270,jericho,31.8667,35.45,83.61,46,0,5.82,PS,1693884610
